;0
131;CN(C(=O)NCc1ccccc1)C(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2C
132;CC(C)NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2C
133;C=C(C)[C@]1(O)CC[C@@]2(C)C3=Cc4c(cc(-c5cccnc5)oc4=O)O[C@]3(C)[C@@H](O)C[C@@H]2[C@@]12CCC(=O)OC2
134;C/C=C(\C)C(=O)N[C@@H]1[C@H](OC(C)=O)[C@@H]2CC[C@@H]3[C@H](CC[C@]4(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]34)[C@@]2(C)C[C@@H]1O
135;COc1ccc2c(c1)c1ccnc(C)c1n2C
136;CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCO[C@@H]2N3C)cc1
137;Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@@]1(C)CO[C@H](C1)O2
138;CN1CCC(CC2Cc3ccccc3C2=O)CC1
139;CC[N+](C)(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCC[N+](C)(CC)Cc1ccccc1OC)Cc1ccccc1OC
140;CC1=C[C@H]2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2
141;C/C=C(\C)C(=O)N[C@@H]1[C@H](O)C2CC[C@H]3C4=CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@@H]1O
142;C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](NC(=O)c5ccccc5)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C)N(C)C
143;Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCO[C@@H]1O2
144;CCc1cc(NCCC2CCN(Cc3ccccc3)CC2)nnc1-c1ccccc1
145;CN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NCCCCCCCCCN2CCOCC2)c1
146;COc1ccccc1CNCCCCCC(=O)NCCCCCCCCNC(=O)CCCCCNCc1ccccc1OC
147;CC(C)(C)OC(=O)n1cc(/C=C2\CN(Cc3ccccc3)CCC2=O)c2ccccc21
148;CN1CCC(C2Cc3ccccc3C2=O)CC1
149;CC(=O)N1N=C(c2ccc(-c3ccccc3)cc2)CC1c1ccccc1[N+](=O)[O-]
150;O=C1CCN(Cc2ccccc2)C/C1=C\c1cccn1C(=O)c1ccccc1
151;COc1ccc2cc3[n+](cc2c1OC)CCc1cc(O)c(O)cc1-3
152;O=C1CCN(Cc2ccccc2)C/C1=C\c1cn(C(=O)c2ccc(F)cc2)c2ccccc12
153;COc1ccc(-c2cc3c(c(=O)o2)C[C@@]2(O)[C@@]4(C)C(=O)[C@@]5(OC)C(=O)O[C@]4(CC[C@@]2(C)O3)C5(C)C)cc1
154;CO[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C([C@H](C)N(C)C=O)=CC[C@@H]32)C1
155;CN[C@H]1CC[C@@]2(C)C(CC[C@H]3[C@@H]4CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)C1
156;CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)C/C(=C\c2cc(OC)c(OC)c(OC)c2)C3=O)c1
157;C#CCN(C)[C@@H](C)Cc1cccc(OC(=O)N(C)CCCCCC)c1
158;CCCCCCCNc1c2c(nc3cc([N+](=O)[O-])ccc13)CCCC2
159;O=C(CN1CCN(c2ccccc2)CC1)Nc1[nH]nc2ncccc12
160;Cc1ccc2nc3c(c(N4CCOCC4)c2c1)CCCC3
161;CCOc1ccc2c(c1)O/C(=C\c1ccc(OCCN3CCCCC3)cc1)C2=O
162;CN(C)Cc1ccc(CSCCNC(=O)NCCSCc2ccc(CN(C)C)o2)o1
163;Cn1c2c(c3ccccc31)CC[N+](c1ccc(Br)cc1)=C2
164;O=c1ccoc2ccc(OCCCN3CCCCCC3)cc12
165;CN(Cc1ccc(C(=O)NCCc2c[nH]c3ccccc23)cc1)Cc1cccc(Cl)c1
166;COc1ccccc1CN(C)Cc1ccc(C(=O)NCCc2c[nH]c3ccccc23)cc1
167;COc1ccc2nc3c(c(NCCCCCCCCN(CC(=O)Nc4ccc5ccccc5c4)C(=O)C=Cc4ccc(O)c(OC)c4)c2c1)CCCC3
168;CN(CCC(=O)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)C1CCCCC1
169;COc1ccc(C(=O)N2c3ccccc3Sc3ccc(Cl)cc32)cc1
170;COc1ccccc1CN1CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(Cc2ccccc2OC)Cc2ccc(cc2)-c2ccc(cc2)C1
171;Cc1ccc(C(=O)/C=C/c2ccc(N3CCCCC3)cc2)s1
172;O=C(NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc(=O)c2cc(O)ccc2o1
173;COc1cc(C2c3ccc4ccccc4c3Oc3nc4c(c(N)c32)CCCC4)ccc1O
174;CCC1=CC2Cc3nc4ncccc4c(N)c3C(C1)C2
175;CCC1=CC2Cc3nc4oc(C5CC5)nc4c(N)c3C(C1)C2
176;CCCSc1nc2nc3c(c(N)c2s1)C1CC(CC)=CC(C3)C1
177;CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCO)c3C(C1)C2
178;Cc1ccc2nc3c(c(NCc4ccccc4)c2c1)CCCC3
179;COc1cccc2c(CCC3CCN(Cc4ccccc4)CC3)noc12
180;O=S(=O)(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c1ccccc1
181;CCN1CC[C@@]2(C)c3cc(OC(=O)NC(C)(C)C)ccc3C[C@@H]12
182;COc1ccc(N(CCC2CCN(Cc3ccccc3)CC2)C(C)=O)cc1
183;O=C1c2ccccc2CN1CCC1CCN(Cc2ccccc2)CC1
184;O=c1c2ccccc2ccn1CCC1CCN(Cc2ccccc2)CC1
185;O=C1CNc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2C1
186;CNC(=O)Oc1cccc(CN(C)CCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1
187;CCCCCCNC(=O)Oc1cccc(CN(C)CCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1
188;CNC(=O)Oc1cccc(CN(C)CCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1
189;C[C@]12CC[C@H](O)[C@@](C)(CO)C1C[C@H](O)[C@@]1(C)Oc3cc(-c4ccncc4)oc(=O)c3C(=O)C21
190;COc1cccc2c1Cc1c-2nc2ccccc2c1N
191;COc1ccc(C2Oc3cc(O)c(C/C=C(\C)CCC=C(C)C)c(O)c3C(=O)C2O)cc1O
192;C#CC(C)OC[n+]1ccn(C)c1C=NO
193;C#CCNC1CCc2ccc(OC(=O)N(C)CC)cc2C1
194;CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
195;CCCCCCN(C)C(=O)Oc1ccc2c(c1)C(N)CC2
196;C#CCN[C@H]1CCc2ccc(OC(=O)N(C)CCCC)cc21
197;C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21
198;Fc1cccc(Cc2nnc3sc(-c4ccoc4)nn23)c1
199;Clc1ccccc1-c1nnc2sc(-c3ccoc3)nn12
200;COc1ccc2nc3c(c(N)c2c1)CCCC3
201;CCN(CCC(=O)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)C1CCCCC1
202;CCNC(=O)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3
203;C=CC(=O)N1C/C(=C\c2ccccc2Cl)C(=O)/C(=C/c2ccccc2Cl)C1
204;ON=Cc1nc(CCCCCNc2c3c(nc4ccccc24)CCCC3)ccc1O
205;COc1ccc(-c2cc3c(c(=O)o2)C(=O)C2[C@@]4(C)CC[C@H](O)[C@@](C)(CO)C4C[C@H](O)[C@@]2(C)O3)cc1OC
206;COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(CN(C)Cc3ccccc3)cc1)C2
207;c1cc[n+](CCCCCCCCCC[n+]2ccccc2)cc1
208;c1cc[n+](COC[n+]2ccccc2)cc1
209;C(=C\C[n+]1ccccc1)\C[n+]1ccccc1
210;C[C@]12CC[C@H](O)[C@@](C)(CO)C1C[C@H](O)[C@@]1(C)Oc3cc(-c4cccnc4)oc(=O)c3C(=O)C21
211;C#CCN(C)[C@@H](C)Cc1cccc(OC(=O)N(C)C2CCCCC2)c1
212;O=c1[nH]c2ccc(OCc3ccc(F)cc3)cc2c(=O)o1
213;COc1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1
214;CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)[C@@H]12
215;CCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CC)C1C2
216;CN(C)Cc1ccc(CSCCNc2cc(N)c([N+](=O)[O-])cc2[N+](=O)[O-])o1
217;NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
218;CN(C)Cc1ccc(CSCCNc2cc(Oc3ccc([N+](=O)[O-])cc3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1
219;CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2
220;CC(C)(O)[C@@H]1Cc2cc3ccc(=O)oc3cc2O1
221;CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)[C@@H](C)c2ccccc2OC)=CC1=O)[C@@H](C)c1ccccc1OC
222;CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccccc2OC)=CC1=O)Cc1ccccc1OC
223;O=C(CCc1ccc2nc(-c3ccccc3)c3c(c2c1)OCCC3)NCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
224;O=C(CCc1ccc2nc(-c3ccccc3)c3c(c2c1)OCCC3)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
225;O=C(NCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)OCCC3
226;C#CCN(CC)C1CCc2ccc(OC(=O)N(C)C)cc21
227;CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C
228;Nc1c2c(nc3ccccc13)OCCC2
229;CCCCCCCNc1c2c(nc3cc(OC)ccc13)CCCC2
230;Nc1c2c(nc3ccc(Cl)cc13)CCCC2
231;CCCOCCn1c(=O)nc(NC2CCC(O)CC2)c2nnc(-c3ccc(OC)nc3)cc21
232;COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1
233;COc1ccc2c(c1)CCCc1c-2nc2ccccc2c1N
234;CC1Cc2c(nc3ccccc3c2N)C1(C)O
235;CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
236;CN(C)Cc1ccc(CNCCN2CCN=C2C(C#N)C#N)o1
237;c1ccc2c(c1)ccc[n+]2CCCCCCCCC[n+]1cccc2ccccc21
238;CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2
239;CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2
